	NAAMES2-41_S1	NAAMES2-42_S2	NAAMES2-43_S3	NAAMES2-44_S4	NAAMES2-45_S5	NAAMES2-46_S6	NAAMES2-47_S7	NAAMES2-49_S8	NAAMES2-50_S9	NAAMES2-51_S10	NAAMES2-52_S11	NAAMES2-53_S12	NAAMES2-54_S13	NAAMES2-55_S14	NAAMES2-56_S15	NAAMES2-27_S29	NAAMES2-28_S30	NAAMES2-33_S31	NAAMES2-34_S32	NAAMES2-35_S33	NAAMES2-37_S34	NAAMES2-38_S35	NAAMES2-39_S36	NAAMES2-25_S48	NAAMES2-26_S49	NAAMES2-29_S50	NAAMES2-30_S51	NAAMES2-31_S52	NAAMES2-36_S54	NAAMES2-40_S55	NAAMES2-48_S56
N1	14288	22250	24375	19332	29417	24934	40997	17758	25181	35338	17617	42326	23102	31741	23923	23792	9666	9996	16070	27156	18356	20124	16739	14161	14695	23233	10917	4687	6314	11840	4268
N2	676	1162	1150	1117	1395	1282	2129	993	1350	1924	907	2513	1337	2068	3353	1338	609	672	1022	1556	1038	1124	967	770	817	1273	683	286	359	1524	600
N3	7729	14199	12337	9829	13141	11317	19211	9948	11164	19671	9884	19973	13324	13557	10812	17253	5601	6726	8854	14455	10672	13385	10266	7192	8142	10813	8714	3532	4717	3776	1339
N5	3031	4392	4933	4108	5932	5197	8648	3574	4788	7183	3870	8806	4885	5587	4126	4753	2039	2120	3449	5561	3920	4378	3529	2829	2956	4595	2344	1015	1421	1829	683
N6	0	0	0	0	0	49	0	0	0	27	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0
N7	1616	2515	2783	2368	3296	3004	4956	1969	2765	3944	2110	5053	2525	3318	3093	2771	1050	1232	1927	3165	2095	2403	1838	1688	1579	2638	1280	620	739	1657	629
N8	114	127	172	222	192	364	348	100	107	305	224	392	273	214	727	156	134	142	175	125	259	207	234	81	124	100	148	70	83	569	233
N11	1252	2117	2271	1801	2727	2493	3926	1502	2286	3224	1593	4014	2194	2642	2206	2163	914	1095	1606	2473	1681	1955	1599	1428	1399	2140	1052	433	654	1267	409
N12	30	42	47	47	77	61	60	0	39	105	44	87	76	54	837	85	0	0	31	74	52	35	57	37	53	66	38	16	26	262	80
N13	1403	2029	2133	1796	2551	2391	3933	1635	2130	2891	1465	4380	1953	2520	2257	1867	818	916	1339	2371	1715	1762	1485	1177	1219	2128	922	384	583	1258	466
N14	1794	2893	3610	2704	3889	3578	4953	1896	2852	4951	2928	4242	3202	3780	1178	3685	1495	1577	2267	3503	2344	2913	2807	1812	1828	2486	1730	828	1140	669	275
N15	1079	1587	1731	1412	1960	1714	2975	1334	1780	2248	1181	2972	1740	2047	1934	1730	800	734	1128	1879	1324	1422	1251	1008	1128	1642	786	345	567	936	324
N17	1196	1890	1914	1694	2345	2087	3472	1359	1824	3074	1391	3645	1847	2358	1839	2003	802	861	1357	2129	1599	1857	1483	1231	1220	1981	909	364	536	861	376
N18	191	260	280	225	325	284	485	228	334	468	188	497	263	524	576	271	121	153	209	376	237	306	225	177	268	280	125	61	63	264	110
N19	405	628	674	565	870	828	1369	406	618	1073	553	1623	668	821	2632	631	267	337	461	813	565	668	450	408	407	689	337	158	179	1187	451
N20	519	947	806	708	900	725	1345	683	831	1412	711	1462	1026	1108	3315	1205	436	494	628	966	752	901	742	503	576	830	569	297	339	1112	380
N21	757	1014	1175	1211	1505	1337	2106	687	1039	1768	1022	2263	1066	1137	1442	1142	571	653	852	1304	1024	1043	928	829	748	1035	651	362	388	803	467
N23	752	1321	1370	978	1317	1214	1727	1128	1341	1818	983	1840	1358	1738	758	1724	680	601	888	1258	941	1171	916	724	729	1257	722	343	436	364	109
N24	514	751	812	713	873	833	1192	452	697	1116	535	1335	705	631	648	584	436	433	676	841	614	726	526	538	440	726	456	212	257	437	192
N26	110	248	254	183	273	270	321	171	276	380	203	370	260	377	627	441	104	158	212	285	220	284	223	147	148	268	203	58	98	379	102
N27	1208	1819	1835	1506	2161	1546	2575	1385	1954	2594	1220	2472	1624	1985	408	1929	718	744	1240	2121	1225	1571	1315	1063	1039	1715	1028	421	540	402	109
N28	21	24	28	25	51	33	40	15	33	61	12	48	35	61	72	25	14	19	17	48	28	35	37	7	29	31	16	10	9	36	0
N30	0	26	27	18	57	40	53	11	17	28	16	58	38	37	80	0	21	33	32	0	39	30	23	0	13	0	0	0	23	37	17
N31	1302	2025	2030	1620	2139	1985	3324	1089	1614	2906	1719	3371	2106	1626	1483	3456	1098	1285	1644	2656	1872	2168	1833	1499	1525	2040	1456	634	1016	726	323
N32	591	1257	1104	830	1216	1034	1728	771	1009	1737	988	1983	1272	1064	1395	1957	422	522	756	1214	891	1248	851	608	648	948	728	301	340	515	167
N33	371	544	556	515	643	642	876	366	547	754	383	1108	450	639	596	443	204	249	333	621	405	481	331	318	233	560	276	92	138	324	140
N35	665	912	1161	938	1280	970	1685	746	1148	1805	861	1678	970	1445	899	1462	423	539	658	1235	811	767	816	644	784	1055	625	310	409	582	180
N36	0	0	52	52	84	67	146	0	71	87	0	129	91	95	207	54	0	0	0	81	64	52	0	48	0	57	0	0	0	74	0
N37	658	858	1141	911	1230	1418	1879	502	771	1470	1017	1819	967	804	912	1390	597	599	830	1135	815	980	924	673	713	1022	636	314	425	746	360
N38	549	682	670	603	671	840	1041	456	661	895	561	1248	526	779	705	587	376	301	449	835	576	576	494	353	400	603	370	193	279	435	330
N39	268	403	480	326	460	414	673	349	413	556	316	790	415	548	468	342	202	282	309	391	414	331	346	302	333	486	270	106	140	295	103
N40	267	350	406	273	430	320	582	234	331	461	247	597	266	372	287	319	192	153	162	381	262	294	268	232	217	296	166	77	119	156	97
N41	319	587	614	477	591	575	869	390	568	901	399	1005	666	598	831	679	234	306	399	650	419	524	402	335	390	472	356	160	153	366	127
N43	74	94	113	95	111	134	153	97	85	164	70	280	120	184	276	99	45	49	83	120	105	75	67	74	60	135	88	0	36	119	43
N44	165	196	207	184	282	252	416	181	203	312	178	413	239	391	310	212	95	88	117	210	175	168	145	121	173	220	110	40	52	149	73
N45	0	39	72	73	47	80	86	0	25	52	71	124	53	46	621	75	28	56	50	37	51	94	59	29	55	45	40	39	37	226	94
N46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N48	36	0	41	46	72	51	87	0	0	106	43	159	86	0	1699	97	0	0	66	0	0	91	55	59	0	0	0	31	0	448	190
N49	908	1284	1472	1128	1657	1501	2337	1015	1437	2120	1127	2309	1387	1492	638	1791	612	694	1066	1664	1171	1438	1209	925	1047	1421	885	442	622	452	306
N50	0	9	0	0	18	14	55	0	0	16	11	52	6	20	665	22	0	7	11	0	15	32	21	17	8	28	27	0	0	92	44
N51	0	50	54	52	62	80	159	0	26	92	58	178	85	49	914	103	32	25	37	51	68	63	46	52	46	64	62	24	23	155	154
N52	609	790	1114	843	1030	1144	1543	522	793	1420	936	1416	958	704	210	1189	491	432	739	991	792	966	815	563	631	747	561	250	351	115	42
N53	591	735	1116	856	1203	1165	1292	726	823	1462	673	1354	765	838	1207	994	476	460	671	932	770	847	749	528	678	769	614	241	357	531	202
