	Domain	Phylum	Class	Order	Family	Genus
N1	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N2	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N3	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	NA
N5	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N6	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	NA
N7	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N8	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N11	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N12	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	NA
N13	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N14	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N15	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N17	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N18	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N19	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N20	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	ZD0405	NA
N21	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N23	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N24	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N26	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N28	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N30	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N31	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N33	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N35	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N36	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N37	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N38	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N39	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N40	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N41	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Litoreibacter
N43	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N44	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N45	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N46	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N48	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N49	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N50	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N51	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N52	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N53	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Marinoscillum
N54	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N56	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N57	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N58	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N60	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N61	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N63	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	marine_group
N64	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N65	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N66	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N67	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	OM43_clade
N68	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
N69	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N70	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N72	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	JL-ETNP-Y6	NA
N77	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	ZD0417_marine_group
