platformId,timestamp_utc_,latitude_deg_,longitude_deg_,ttff_sec_,x_Sat,hdop,sst_degC_,slp_mB_,drogue_counts_,battery_volts_
300234062417670,2016-05-24 01:33:00,47.6507988,-39.1924019,90,4,12,NaN,850,25,7
300234062417670,2016-05-24 02:00:00,47.651001,-39.1882019,5,4,6,15.39,850,23,7.2
300234062417670,2016-05-24 03:00:00,47.6511993,-39.1769981,6,4,4,15.39,850,26,7
300234062417670,2016-05-24 04:02:00,47.6517982,-39.1651993,144,7,2,15.4,850,28,7
300234062417670,2016-05-24 05:00:00,47.652401,-39.1549988,3,7,1,15.39,850,24,7.2
300234062417670,2016-05-24 06:00:00,47.6528015,-39.1450005,6,5,2,15.39,850,26,7
300234062417670,2016-05-24 07:01:00,47.6539993,-39.1349983,91,6,2,15.38,850,25,7
300234062417670,2016-05-24 08:00:00,47.6559982,-39.1245995,5,5,7,15.4,850,21,7
300234062417670,2016-05-24 09:00:00,47.6557999,-39.1132011,7,4,8,15.39,850,28,7
300234062417670,2016-05-24 10:00:00,47.6559982,-39.0999985,5,5,2,15.39,850,29,7
300234062417670,2016-05-24 11:00:00,47.6557999,-39.0844002,4,3,2,15.4,850,24,7.2
300234062417670,2016-05-24 12:00:00,47.655201,-39.0684013,5,4,5,15.43,850,23,7
300234062417670,2016-05-24 13:01:00,47.6548004,-39.0494003,70,3,2,15.45,850,27,7
300234062417670,2016-05-24 14:00:00,47.6543999,-39.028801,4,4,3,15.44,850,22,7.2
300234062417670,2016-05-24 15:00:00,47.6529999,-39.0051994,7,5,2,15.46,850,28,7
300234062417670,2016-05-24 16:00:00,47.6497993,-38.9812012,4,6,2,15.48,850,23,7.2
300234062417670,2016-05-24 17:00:00,47.6451988,-38.9564018,4,6,2,15.48,850,22,7.2
300234062417670,2016-05-24 18:00:00,47.6391983,-38.9329987,7,4,3,15.48,850,28,7
300234062417670,2016-05-24 19:03:00,47.6296005,-38.9101982,183,6,2,15.48,850,28,7
300234062417670,2016-05-24 20:00:00,47.6189995,-38.8909988,4,5,2,15.48,850,23,7.2
300234062417670,2016-05-24 21:00:00,47.6069984,-38.8737984,7,5,2,15.47,850,28,7
300234062417670,2016-05-24 22:02:00,47.5940018,-38.8590012,150,10,1,15.46,850,27,7
300234062417670,2016-05-24 23:00:00,47.5817986,-38.8482018,3,6,4,15.45,850,24,7.2
300234062417670,2016-05-25 00:00:00,47.5694008,-38.8390007,4,10,2,15.45,850,26,7.2
300234062417670,2016-05-25 01:00:00,47.5579987,-38.8310013,4,9,1,15.45,850,23,7.2
300234062417670,2016-05-25 02:00:00,47.5467987,-38.8240013,6,8,1,15.45,850,28,7
300234062417670,2016-05-25 03:00:00,47.5376015,-38.8181992,4,8,1,15.45,850,23,7.2
300234062417670,2016-05-25 04:00:00,47.5295982,-38.8129997,5,7,2,15.45,850,23,7
300234062417670,2016-05-25 05:00:00,47.5219994,-38.8072014,4,8,1,15.44,850,22,7.2
300234062417670,2016-05-25 06:00:00,47.514801,-38.8012009,5,7,1,15.45,850,23,7
300234062417670,2016-05-25 07:00:00,47.5096016,-38.7970009,4,7,1,15.45,850,24,7.2
300234062417670,2016-05-25 08:00:00,47.5036011,-38.7911987,4,6,2,15.45,850,23,7.2
300234062417670,2016-05-25 09:00:00,47.4980011,-38.7865982,5,6,2,15.45,850,23,7
300234062417670,2016-05-25 10:00:00,47.4920006,-38.7795982,5,6,2,15.45,850,25,7
300234062417670,2016-05-25 11:00:00,47.4855995,-38.771801,7,5,2,15.46,850,28,7
300234062417670,2016-05-25 12:00:00,47.4798012,-38.7630005,13,4,5,15.47,850,25,7
300234062417670,2016-05-25 13:00:00,47.4720001,-38.7543983,5,5,2,15.5,850,22,7
300234062417670,2016-05-25 14:00:00,47.4658012,-38.7453995,7,7,2,15.54,850,28,7
300234062417670,2016-05-25 15:00:00,47.4589996,-38.7354012,4,6,2,15.57,850,23,7.2
300234062417670,2016-05-25 16:00:00,47.4514008,-38.726799,5,7,2,15.61,850,22,7
300234062417670,2016-05-25 17:00:00,47.4426003,-38.718399,4,8,1,15.68,850,24,7.2
300234062417670,2016-05-25 18:00:00,47.4336014,-38.7127991,5,8,1,15.72,850,23,7
300234062417670,2016-05-25 19:00:00,47.4238014,-38.7085991,4,7,2,15.74,850,24,7.2
300234062417670,2016-05-25 20:00:00,47.4146004,-38.7075996,4,8,1,15.76,850,23,7.2
300234062417670,2016-05-25 21:00:00,47.4062004,-38.7098007,4,8,1,15.73,850,21,7.2
300234062417670,2016-05-25 22:00:00,47.3986015,-38.7131996,5,7,2,15.74,850,23,7
300234062417670,2016-05-25 23:00:00,47.392601,-38.7158012,5,7,2,15.71,850,21,7
300234062417670,2016-05-26 00:00:00,47.3895988,-38.7179985,6,8,2,15.72,850,27,7
300234062417670,2016-05-26 01:00:00,47.3880005,-38.7193985,7,8,2,15.69,850,28,7
300234062417670,2016-05-26 02:00:00,47.3866005,-38.7190018,8,8,1,15.68,850,24,7
300234062417670,2016-05-26 03:00:00,47.3888016,-38.7173996,7,8,1,15.67,850,26,7
