datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,chla_adj,poc,o2_c,cphyto,bbp,sigma
2019-11-08 07:11:18,55.9273,-34.2383,0.2,8.024,34.787,-0.00366103978325,0.79032,1.8557,0.00302945853314,12.7,nan,0.332465517241,14.1525162426,12.1462345901,13.9283048426,0.000806067309656,27.1056074734
2019-11-08 07:11:18,55.9273,-34.2383,2.1,8.034,34.782,-0.00366103978456,0.801,1.84365,0.00302945853314,9.3,nan,0.337068965517,11.4937832362,12.1439966951,12.6862780091,0.000731008504211,27.1002155165
2019-11-08 07:11:18,55.9273,-34.2383,3.7,8.036,34.783,-0.00366103978459,0.79922,1.84365,0.00302945853314,9.3,nan,0.336301724138,12.2030840186,12.1441844707,13.0176277921,0.000751032804996,27.1007281836
2019-11-08 07:11:18,55.9273,-34.2383,6.1,8.038,34.783,-0.00366103978429,0.8099,1.8316,0.00349267849233,6.6,nan,0.340905172414,11.9372224354,12.1415246539,12.8934305826,0.000743527255247,27.1004690421
2019-11-08 07:11:18,55.9273,-34.2383,8.0,8.041,34.783,-0.00366103978383,0.79744,1.84365,0.00302945853314,6.8,nan,0.335534482759,12.3806967882,12.1393660426,13.1005995781,0.000756046998708,27.1000515925
2019-11-08 07:11:18,55.9273,-34.2383,10.0,8.041,34.783,-0.00366103978383,0.80278,1.84365,0.00302945853314,4.6,nan,0.337836206897,12.1147178126,12.1414620787,12.9763475287,0.00074853813485,27.1000853771
2019-11-08 07:11:18,55.9273,-34.2383,12.0,8.042,34.783,-0.00366103978369,0.80278,1.8316,0.00349267849233,4.5,2.16,0.337836206897,13.4446713697,12.140742493,13.5976351875,0.000786084110715,27.0999416213
2019-11-08 07:11:18,55.9273,-34.2383,14.0,8.042,34.783,-0.00366103978376,0.86864,1.84365,0.00349267849233,3.6,1.94,0.366224137931,11.6714781992,12.1366762695,12.7692881917,0.000736025018328,27.0999477319
2019-11-08 07:11:18,55.9273,-34.2383,16.1,8.041,34.783,-0.00366103978389,0.83482,1.84365,0.00302945853314,4.0,2.01,0.351646551724,12.1147178126,12.1365511819,12.9763475287,0.00074853813485,27.1001040011
2019-11-08 07:11:18,55.9273,-34.2383,17.8,8.041,34.783,-0.00366103978387,0.83126,1.84365,0.00302945853314,3.0,1.69,0.350112068966,12.7353354223,12.1361915639,13.2662689772,0.000766058817185,27.1001092036
2019-11-08 07:11:18,55.9273,-34.2383,20.0,8.043,34.783,-0.00366103978361,0.83126,1.84365,0.00256623857394,2.6,1.57,0.350112068966,13.0014317525,12.1372860948,13.3905758488,0.000773570994086,27.0998162603
2019-11-08 07:11:18,55.9273,-34.2383,21.9,8.043,34.783,-0.00366103978363,0.83126,1.8316,0.00256623857394,2.5,1.41,0.350112068966,12.6467931184,12.1331119017,13.2249064496,0.000763559175609,27.099903323
2019-11-08 07:11:18,55.9273,-34.2383,24.0,8.043,34.783,-0.00366103978363,0.82414,1.81955,0.00256623857394,2.3,1.2,0.347043103448,11.1395789235,12.1305801177,12.5208115032,0.00072100894708,27.0999995581
2019-11-08 07:11:18,55.9273,-34.2383,26.0,8.043,34.783,-0.00366103978367,0.79744,1.8316,0.00210301861474,2.1,0.73,0.335534482759,11.4942175576,12.1320803547,12.6864809023,0.000731020765558,27.1000912184
2019-11-08 07:11:18,55.9273,-34.2383,28.0,8.043,34.783,-0.00366103978374,0.82948,1.8798,0.00163979865555,2.2,0.86,0.349344827586,10.8735999479,12.1268617777,12.3965594538,0.000713500083222,27.1001828862
2019-11-08 07:11:18,55.9273,-34.2383,30.0,8.04,34.782,-0.00366103978433,0.82948,1.81955,0.00256623857394,2.3,0.97,0.349344827586,11.7601143842,12.1260339375,12.8106945758,0.000738527310265,27.0999387148
2019-11-08 07:11:18,55.9273,-34.2383,31.9,8.04,34.782,-0.0036610397842,0.84728,1.8316,0.00256623857394,2.1,0.98,0.357017241379,11.4941354086,12.1243316195,12.6864425265,0.000731018446407,27.0999918779
2019-11-08 07:11:18,55.9273,-34.2383,34.0,8.04,34.782,-0.00366103978438,0.84194,1.84365,0.00256623857394,2.0,0.86,0.354715517241,10.6075388234,12.1257215632,12.2722690285,0.000705988900214,27.1000506449
2019-11-08 07:11:18,55.9273,-34.2383,36.0,8.043,34.782,-0.00366103978388,0.85262,1.8316,0.00302945853314,1.7,0.59,0.359318965517,14.8633784679,12.1279083936,14.2603840534,0.0008261356916,27.0996572208
2019-11-08 07:11:18,55.9273,-34.2383,38.0,8.043,34.782,-0.00366103978386,0.84194,1.84365,0.00256623857394,1.7,0.72,0.354715517241,12.1149290536,12.1268617777,12.9764462099,0.000748544098401,27.0997132175
2019-11-08 07:11:18,55.9273,-34.2383,40.0,8.043,34.782,-0.00366103978394,0.82414,1.8316,0.00256623857394,1.8,0.6,0.347043103448,11.2283324683,12.1241598425,12.5622727119,0.000723514552208,27.0997692216
2019-11-08 07:11:18,55.9273,-34.2383,42.0,8.042,34.782,-0.00366103978405,0.82948,1.84365,0.00256623857394,1.7,0.43,0.349344827586,10.784975501,12.1235352244,12.3551585531,0.000710998122665,27.0999771451
2019-11-08 07:11:18,55.9273,-34.2383,44.0,8.042,34.782,-0.00366103978412,0.82948,1.81955,0.00256623857394,1.7,0.34,0.349344827586,10.0756982328,12.1252998739,12.0238197548,0.00069097448571,27.1000352739
2019-11-08 07:11:18,55.9273,-34.2383,46.0,8.041,34.782,-0.00366103978443,0.86864,1.81955,0.00210301861474,1.6,0.24,0.366224137931,12.7354293102,12.1167138838,13.2663128369,0.000766061467737,27.1002431886
2019-11-08 07:11:18,55.9273,-34.2383,48.0,8.042,34.782,-0.00366103978429,0.86508,1.84365,0.00210301861474,1.6,0.34,0.364689655172,11.2282737937,12.1156372673,12.5622453021,0.000723512895761,27.1001515539
2019-11-08 07:11:18,55.9273,-34.2383,50.0,8.043,34.782,-0.00366103978427,0.83304,1.84365,0.00163979865555,1.7,0.31,0.350879310345,18.3211051504,12.114529569,15.8756606953,0.000923750921754,27.1000599245
2019-11-08 07:11:18,55.9273,-34.2383,52.0,8.04,34.783,-0.00366103978477,0.83838,1.8316,0.00210301861474,1.6,0.37,0.353181034483,11.9373398126,12.1071065685,12.8934854154,0.00074353056893,27.1013438187
2019-11-08 07:11:18,55.9273,-34.2383,54.0,8.043,34.783,-0.00366103978441,0.82414,1.8075,0.00256623857394,1.6,0.3,0.347043103448,10.6962806309,12.1056101796,12.3137247542,0.000708494173984,27.1009438107
2019-11-08 07:11:18,55.9273,-34.2383,56.0,8.044,34.783,-0.00366103978432,0.86152,1.84365,0.00256623857394,1.6,0.29,0.363155172414,11.1396375951,12.1051737763,12.5208389116,0.000721010603442,27.1008433329
2019-11-08 07:11:18,55.9273,-34.2383,58.0,8.044,34.783,-0.00366103978465,0.83304,1.8075,0.00256623857394,1.6,0.26,0.350879310345,12.7355114486,12.1042854443,13.2663512079,0.00076606378659,27.1008926473
2019-11-08 07:11:18,55.9273,-34.2383,60.0,8.045,34.783,-0.00366103978456,0.84728,1.8316,0.00210301861474,1.6,0.33,0.357017241379,11.4056752386,12.1033348632,12.6451183677,0.000728521123555,27.1007921867
2019-11-08 07:11:18,55.9273,-34.2383,62.0,8.045,34.782,-0.00366103978472,0.82414,1.8316,0.00256623857394,1.7,0.18,0.347043103448,11.1397901477,12.094488014,12.5209101766,0.000721014910162,27.1000562131
2019-11-08 07:11:18,55.9273,-34.2383,64.0,8.044,34.782,-0.00366103978534,0.83482,1.81955,0.00210301861474,1.6,0.09,0.351646551724,12.203647383,12.0880448571,13.0178909677,0.00075104870936,27.1002553242
2019-11-08 07:11:18,55.9273,-34.2383,66.0,8.041,34.782,-0.00366103978601,0.82948,1.84365,0.00302945853314,1.6,0.26,0.349344827586,10.6962571641,12.0816681654,12.3137137917,0.000708493511492,27.1007539038
2019-11-08 07:11:18,55.9273,-34.2383,68.0,8.04,34.782,-0.00366103978644,0.85262,1.8316,0.00302945853314,1.6,0.21,0.359318965517,11.9374337012,12.0806420651,12.8935292754,0.000743533219503,27.1009529607
2019-11-08 07:11:18,55.9273,-34.2383,70.0,8.041,34.783,-0.00366103978652,0.83126,1.81955,0.00256623857394,1.7,0.06,0.350112068966,11.7600791785,12.0708995213,12.8106781295,0.000738526316372,27.1016379081
2019-11-08 07:11:18,55.9273,-34.2383,72.0,8.042,34.783,-0.0036610397868,0.81524,1.8316,0.00210301861474,1.7,0.17,0.343206896552,12.0261168333,12.0637581012,12.9349575909,0.000746036836805,27.1015375373
