datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,sigma,poc,bbp,cphyto,chla_adj,o2_c
2017-09-17 07:28:52,48.4073,-40.141,0.3,16.603,34.661,-0.00366103838594,0.65331,1.8189,0.000146229323111,11.7,nan,25.3526391297,42.138699736,0.0015961464552,27.0020474032,0.273409482759,13.3059896486
2017-09-17 07:28:52,48.4073,-40.141,2.0,16.613,34.659,-0.00366103838477,0.655384,1.8318,-0.000341201753945,9.3,nan,25.3488327813,35.4240915857,0.00140658606475,23.8653189395,0.274303448276,13.3112178191
2017-09-17 07:28:52,48.4073,-40.141,4.1,16.613,34.659,-0.00366103838468,0.661606,1.8318,-0.000341201753945,6.3,nan,25.3489143517,34.8837976713,0.0013913330041,23.6129206965,0.276985344828,13.3066024673
2017-09-17 07:28:52,48.4073,-40.141,5.9,16.615,34.659,-0.00366103838455,0.671976,1.8318,-0.000828632831,7.0,nan,25.3485168648,34.4207477402,0.00137826062165,23.3966069717,0.281455172414,13.3052326882
2017-09-17 07:28:52,48.4073,-40.141,8.0,16.615,34.659,-0.00366103838475,0.690642,1.8189,-0.00131606390806,4.8,2.28,25.3485984623,34.1891932054,0.00137172359566,23.2884362961,0.289500862069,13.2988188111
2017-09-17 07:28:52,48.4073,-40.141,10.0,16.615,34.66,-0.00366103838493,0.676124,1.8189,-0.00131606390806,3.8,2.16,25.3494440129,34.8837680736,0.00139133216853,23.6129068699,0.283243103448,13.2975761403
2017-09-17 07:28:52,48.4073,-40.141,11.9,16.618,34.661,-0.00366103838472,0.669902,1.8318,-0.00131606390806,4.1,1.66,25.3495746942,36.1959103898,0.00142837531449,24.2258740095,0.280561206897,13.2997013798
2017-09-17 07:28:52,48.4073,-40.141,13.9,16.618,34.661,-0.00366103838477,0.665754,1.8189,-0.00131606390806,3.9,1.38,25.3496420758,34.3434741118,0.00137607910654,23.3605086047,0.278773275862,13.2920849958
2017-09-17 07:28:52,48.4073,-40.141,16.0,16.618,34.661,-0.00366103838497,0.703086,1.8189,-0.000828632831,3.2,1.93,25.349712834,34.7293983364,0.00138697414986,23.540793064,0.294864655172,13.2899253591
2017-09-17 07:28:52,48.4073,-40.141,18.0,16.618,34.66,-0.00366103838513,0.70516,1.8447,-0.00131606390806,2.6,1.37,25.3490124001,34.7294870699,0.0013869766549,23.5408345159,0.29575862069,13.286326985
2017-09-17 07:28:52,48.4073,-40.141,20.0,16.619,34.66,-0.00366103838516,0.707234,1.8189,-0.000341201753945,3.2,0.66,25.3488460977,34.1120378665,0.00136954541998,23.252393188,0.296652586207,13.2818308103
2017-09-17 07:28:52,48.4073,-40.141,22.0,16.62,34.66,-0.00366103838543,0.692716,1.8189,0.000633660400167,2.9,0.87,25.3487076177,35.1154704032,0.00139787336693,23.7211465879,0.290394827586,13.2742637506
2017-09-17 07:28:52,48.4073,-40.141,24.0,16.618,34.66,-0.00366103838593,0.707234,1.8318,0.000633660400167,2.7,0.9,25.3492702521,34.4979325351,0.00138043962891,23.4326638403,0.296652586207,13.2753059083
2017-09-17 07:28:52,48.4073,-40.141,26.0,16.612,34.662,-0.00366103838739,0.723826,1.8189,0.000146229323111,2.7,0.77,25.3523031092,33.8800989048,0.00136299754121,23.1440429274,0.303804310345,13.2708146129
2017-09-17 07:28:52,48.4073,-40.141,28.0,16.607,34.664,-0.00366103838862,0.730048,1.8318,0.000633660400167,2.6,0.63,25.3551020468,34.574437116,0.00138259943301,23.4684029469,0.306486206897,13.2620712758
